物件名,カテゴリー,住所,最寄駅0,最寄駅1,最寄駅2,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,面積
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,5階,8.15万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,5階,8.15万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,5階,8.15万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,6階,8.2万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,6階,8.2万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,6階,8.2万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,7階,8.25万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,7階,8.25万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,7階,8.25万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,7階,8.25万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,8階,8.3万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,8階,8.3万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,8階,8.3万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,8階,8.3万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,9階,8.35万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,9階,8.35万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,9階,8.35万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,9階,8.35万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,10階,8.4万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,10階,8.4万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,10階,8.4万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,10階,8.4万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,11階,8.45万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,11階,8.45万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,11階,8.45万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,11階,8.45万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,4階,15.4万円,10000円,15.4万円,15.4万円,2LDK,50.68m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,5階,15.4万円,10000円,15.4万円,15.4万円,2LDK,50.68m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,5階,15.45万円,10000円,15.45万円,15.45万円,2LDK,50.68m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,8階,16万円,10000円,16万円,16万円,2LDK,50.68m2
つくばエクスプレス 六町駅 3階建 築2年,賃貸アパート,東京都足立区六町１,つくばエクスプレス/六町駅 歩3分,東京メトロ千代田線/北綾瀬駅 歩19分,つくばエクスプレス/青井駅 歩19分,築2年,3階建,2階,10万円,4000円,10万円,10万円,1LDK,41.06m2
メゾン ベベ,賃貸アパート,東京都足立区六町１,つくばエクスプレス/六町駅 歩3分,東京メトロ千代田線/北綾瀬駅 歩18分,ＪＲ常磐線/綾瀬駅 バス13分 (バス停)六町駅 歩5分,築2年,3階建,2階,10万円,4000円,10万円,10万円,1LDK,41.06m2
クレアールフレスカ,賃貸マンション,東京都江東区亀戸１,東京メトロ半蔵門線/錦糸町駅 歩9分,ＪＲ総武線/錦糸町駅 歩9分,,築11年,14階建,11階,12万円,8000円,12万円,12万円,1DK,31.44m2
クレアールフレスカ,賃貸マンション,東京都江東区亀戸１,東京メトロ半蔵門線/錦糸町駅 歩9分,ＪＲ総武線/錦糸町駅 歩9分,,築11年,14階建,9階,19万円,10000円,19万円,38万円,2LDK,58.2m2
クレアールフレスカ,賃貸マンション,東京都江東区亀戸１,東京メトロ半蔵門線/錦糸町駅 歩9分,ＪＲ総武線/錦糸町駅 歩9分,,築11年,14階建,10階,19万円,10000円,19万円,38万円,1DK,31.44m2
クレアールフレスカ,賃貸マンション,東京都江東区亀戸１,東京メトロ半蔵門線/錦糸町駅 歩9分,ＪＲ総武線/錦糸町駅 歩9分,,築11年,14階建,7階,20万円,10000円,20万円,40万円,3LDK,72.6m2
クレアールフレスカ,賃貸マンション,東京都江東区亀戸１,東京メトロ半蔵門線/錦糸町駅 歩9分,ＪＲ総武線/錦糸町駅 歩9分,,築11年,14階建,13階,21.6万円,10000円,21.6万円,43.2万円,3LDK,72.6m2
ＪＲ山手線 田端駅 4階建 築7年,賃貸マンション,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩13分,日暮里・舎人ライナー/赤土小学校前駅 歩4分,都電荒川線/熊野前駅 歩8分,築7年,4階建,4階,7.2万円,5000円,-,-,1K,17.68m2
プラシード,賃貸マンション,東京都足立区綾瀬７,つくばエクスプレス/青井駅 歩10分,東京メトロ千代田線/北綾瀬駅 歩13分,ＪＲ常磐線/綾瀬駅 歩18分,築7年,6階建,4階,7.05万円,5300円,-,7.05万円,1K,25.9m2
プラシード,賃貸マンション,東京都足立区綾瀬７,つくばエクスプレス/青井駅 歩10分,東京メトロ千代田線/北綾瀬駅 歩13分,ＪＲ常磐線/綾瀬駅 歩18分,築7年,6階建,1階,9.6万円,5300円,-,9.6万円,1LDK,40.36m2
プラシード,賃貸マンション,東京都足立区綾瀬７,つくばエクスプレス/青井駅 歩10分,東京メトロ千代田線/北綾瀬駅 歩13分,ＪＲ常磐線/綾瀬駅 歩18分,築7年,6階建,5階,10.1万円,6300円,-,10.1万円,1LDK,40.36m2
プラシード,賃貸マンション,東京都足立区綾瀬７,つくばエクスプレス/青井駅 歩10分,東京メトロ千代田線/北綾瀬駅 歩13分,ＪＲ常磐線/綾瀬駅 歩18分,築7年,6階建,4階,10.2万円,6300円,-,10.2万円,1LDK,40.36m2
東京メトロ千代田線 町屋駅 3階建 築7年,賃貸アパート,東京都荒川区町屋４,東京メトロ千代田線/町屋駅 歩10分,都電荒川線/町屋二丁目駅 歩8分,日暮里・舎人ライナー/熊野前駅 歩11分,築7年,3階建,2階,4.8万円,3000円,-,-,ワンルーム,11.82m2
エスポワール町屋弐番館,賃貸アパート,東京都荒川区町屋４,東京メトロ千代田線/町屋駅 歩10分,京成本線/新三河島駅 歩15分,日暮里・舎人ライナー/熊野前駅 歩11分,築7年,3階建,2階,4.8万円,3000円,-,-,ワンルーム,11.82m2
コンフォリア本所吾妻橋,賃貸マンション,東京都墨田区本所２,都営浅草線/本所吾妻橋駅 歩9分,都営大江戸線/蔵前駅 歩11分,東武伊勢崎線/浅草駅 歩13分,築15年,9階建,5階,8.4万円,5000円,8.4万円,-,1K,20.88m2
コンフォリア本所吾妻橋,賃貸マンション,東京都墨田区本所２,都営浅草線/本所吾妻橋駅 歩9分,都営大江戸線/蔵前駅 歩11分,東武伊勢崎線/浅草駅 歩13分,築15年,9階建,7階,8.7万円,5000円,8.7万円,-,1K,20.8m2
コンフォリア本所吾妻橋,賃貸マンション,東京都墨田区本所２,都営浅草線/本所吾妻橋駅 歩9分,都営大江戸線/蔵前駅 歩11分,東武伊勢崎線/浅草駅 歩13分,築15年,9階建,7階,8.9万円,5000円,8.9万円,-,1K,20.8m2
コンフォリア本所吾妻橋,賃貸マンション,東京都墨田区本所２,都営浅草線/本所吾妻橋駅 歩9分,都営大江戸線/蔵前駅 歩11分,東武伊勢崎線/浅草駅 歩13分,築15年,9階建,8階,16.7万円,8000円,16.7万円,-,2LDK,47.17m2
ミオカステーロ目黒都立大,賃貸マンション,東京都目黒区中根２,東急東横線/都立大学駅 歩8分,東急大井町線/緑が丘駅 歩11分,東急目黒線/大岡山駅 歩16分,築19年,8階建,5階,15.3万円,2000円,15.3万円,15.3万円,1LDK,42.89m2
RELUXIA東向島,賃貸マンション,東京都墨田区東向島３,東武伊勢崎線/曳舟駅 歩6分,京成押上線/京成曳舟駅 歩7分,東京メトロ半蔵門線/押上駅 歩16分,築3年,12階建,7階,13万円,20000円,-,13万円,1LDK,41.74m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,1階,7.35万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,1階,7.35万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,1階,7.35万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,2階,7.8万円,10000円,-,-,1K,22.64m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,2階,7.8万円,10000円,-,-,1K,22.61m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,2階,7.8万円,10000円,-,-,1K,22.5m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,2階,7.8万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,2階,7.8万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,2階,7.8万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,2階,7.8万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,3階,7.85万円,10000円,-,-,1K,22.64m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,3階,7.85万円,10000円,-,-,1K,22.5m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,3階,7.85万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,3階,7.85万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,3階,7.85万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,7.9万円,10000円,-,-,1K,22.64m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,7.9万円,10000円,-,-,1K,21.61m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,5階,7.9万円,10000円,-,-,1K,21.61m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,7.9万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,5階,7.9万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,7.9万円,10000円,-,-,1K,21.43m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,5階,7.9万円,10000円,-,-,1K,21.43m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,6階,7.95万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,7階,7.95万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,6階,7.95万円,10000円,-,-,1K,21.43m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,8.5万円,10000円,-,-,1DK,24.36m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,5階,8.55万円,10000円,-,-,1DK,24.36m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,7階,8.6万円,10000円,-,-,1DK,24.36m2
Westen Feld,賃貸マンション,東京都足立区一ツ家３,つくばエクスプレス/六町駅 歩13分,つくばエクスプレス/青井駅 歩19分,ＪＲ常磐線/綾瀬駅 バス15分 (バス停)青井六丁目 歩3分,築17年,4階建,4階,11万円,5000円,11万円,-,2LDK,48m2
東急東横線 中目黒駅 5階建 築6年,賃貸マンション,東京都目黒区中目黒１,東急東横線/中目黒駅 歩5分,東急東横線/代官山駅 歩8分,ＪＲ山手線/恵比寿駅 歩11分,築6年,5階建,3階,8.9万円,10000円,8.9万円,17.8万円,ワンルーム,20.25m2
